YORUM,URUN_KALITESI,PAKETLEME/TESLIMAT,FIYAT/PERFORMANS,URUN_TASARIMI
paketleme çok güzeldi,0.0,1.0,0.0,0.0
kokusu güzel saçım için kullandım,1.0,0.0,0.0,0.0
"ürünün kalitesi güzel. sağlam şekilde teslim aldım, paketlemesi güzeldi.",1.0,1.0,0.0,0.0
mis gibi kokuyor bayildim,1.0,0.0,0.0,0.0
gayet lezzetli. kaliteli,1.0,0.0,0.0,0.0
sağlam geldi,1.0,1.0,0.0,0.0
"markanın ürünlerini ilk kez deneyeceğim, paketleme güzeldi teşekkürler",0.0,1.0,0.0,0.0
ürün gerçekten çok güzel . açar açmaz kokusu sizi cezbediyor tadı harika. orijinal olduğu o kadar belli ki. bundan sonra tek adresim.,1.0,0.0,0.0,0.0
kahvenin içine kullanıyorum çok güzel,1.0,0.0,0.0,0.0
"çok beğendim, teşekkür ederim.",1.0,0.0,0.0,0.0
çok uygun bu fiyata alın aldırın,0.0,0.0,1.0,0.0
teşekkürler,0.0,0.0,0.0,0.0
"efsane ürün, sağlam kargoalama",1.0,1.0,0.0,0.0
gerçekten çok iyi. kahveme bir kaşık ekliyorum!!!  mükemmel!!!,1.0,0.0,0.0,0.0
çok güzel ürün. güzel paketlenmiş olarak geldi.,1.0,1.0,0.0,0.0
fiyat olarak uygunluğu ve promosyon nedeni ile aldım ama memnun da kaldım.,1.0,0.0,1.0,0.0
iyi paketlenmiş ama yinede dışına akmış,1.0,1.0,0.0,0.0
"urunun icerik olarak iyi oldugundan eminim ama geldiginde cok fazlaakmisti. daha iyi paketleme yapilmali. tesekkurler,",1.0,1.0,0.0,0.0
cok hafif tadı cok güzel gıda için kullanmadım henüz nemlendici olarak beğendim,1.0,0.0,0.0,0.0
gayet iyi kahvede falan içimi kolay oluyor,1.0,0.0,0.0,0.0
sevdiğim bir marka yağlarda,1.0,0.0,0.0,0.0
tadı ve kokusu gayet iyi,1.0,0.0,0.0,0.0
hızlı sorunsuz teslimat çok iyi saçlarıma kullanıyorum teşekkürler,1.0,0.0,0.0,0.0
urunu i̇ade edeceği̇m yani̇ndaki̇ urun patlami̇s oldugu i̇ci̇n o da pi̇slenmi̇sve kutuda yag lekeleri̇ vardi̇ pek de hi̇jyeni̇k paketlenmemi̇s aci̇kcasi̇,1.0,1.0,0.0,0.0
hızlı bir şekilde teslim edildi. fakat paketi açtığımda ellerim yağiçinde kaldı. kavanoz kapağı vakumlu değildi kolayca açıldı. 150 grolması gereken ürün 120 gr kalmış. yaklaşık 30 gr dışarı akmış. hoş birdeneyim olmadı.,1.0,1.0,0.0,1.0
kaliteli bir urun tavsiye ederim,1.0,0.0,0.0,0.0
merhabaa ilk olarak bot bir yorum değil üstte çıksın diye 5 puan veriomböle dedim diye şimdi bot sanacanizda neyse wvsfhw neyse kargolama çokiyiydi baya sağlamdı dökülme yoktu bende bana sıvı geldi ama sıcaktandolayı yani buzluğa koysanız beyaz olur çarşamba sipariş ettim cumageldi bole iste,1.0,1.0,0.0,0.0
ben biberiye ve amla yağı ile kullanıyorum,0.0,0.0,0.0,0.0
buzdolabina koymadan kullanin bence sonra kullanimi zor oluyor,1.0,0.0,0.0,0.0
çok hızlı geldi kokusu güzel henüz kullanmadım,0.0,1.0,0.0,0.0
dökülmüştü biraz 4 yıldız verdim,1.0,1.0,0.0,0.0
hediye aldım,0.0,0.0,0.0,0.0
sevdiğim ve güvendiğim bir marka. gayet güzel,1.0,0.0,0.0,0.0
paketlemesini beğenmedim kutuya akmıştı,0.0,1.0,0.0,0.0
"yorumlara bakarak almıştım iyiki de almışım. aroması çok güzel, başkaürünlerin hindistan cevizi yağı almıştım bu kadar aroması yoktu. tavsiye ederim.",1.0,0.0,0.0,0.0
ürünü beğendiğim,1.0,0.0,0.0,0.0
faydalı bir ürün her yerde kullanılabilir,1.0,0.0,0.0,0.0
"sorunsuz bir sekilde ulastirdilar, guzel bir urun",1.0,1.0,0.0,0.0
paketleme falan gayet güzeldi hediye için de teşekkürler,0.0,1.0,0.0,0.0
çok hızlı ve özenli paketli geldi. çok beğendim.,1.0,1.0,0.0,0.0
ben senelerdir saçlarım için kullanırım. başka markalarda kullandım buürün pahalı olduğu için fakat yine sonunda buna döndüm. daha azkullanarak daha çok nem sağlıyor,1.0,0.0,1.0,0.0
kahvelerime karistiriyorum kokusu tadı harika,1.0,0.0,0.0,0.0
çok beğendimmm tavsiye ederim,1.0,0.0,0.0,0.0
saç için almıştım ama hiçbir faydasını göremedim,1.0,0.0,0.0,0.0
kozmetik ürün olarak kullanıyorum herhangi bir sorun yok,1.0,0.0,0.0,0.0
hafif akma yapmıştı onun dışında problem yok,1.0,0.0,0.0,0.0
çok güzel bir ürün türk kahvesine katıp içiyorum,1.0,0.0,0.0,0.0
kapağının altında koruması yoktu.???????,1.0,1.0,0.0,1.0
hamileliğim boyunca kullandım çatlak olmasın diye çok memnun kaldımçatlaksız bir hamilelik geçirdim 😌,1.0,0.0,0.0,0.0
kokusu cok guzel yiyesim kaşıkla yiyesim geliyor,1.0,0.0,0.0,0.0
sürekli aynı markanın hindistan cevizi yağını alıyorum gerçektenlezzetli ve başarılı tek kusuru kargoda ağız kısmından akmış olması olduonun dışında sorun yok,1.0,1.0,0.0,0.0
malesef kargolama köyü yağ baya akmıştı,0.0,1.0,0.0,0.0
satıcı ilgili baskı hatasından dolayı son kullanma tarihinde bigeçmişlik vardı değişim sağladılar sorun çözüldü. bittikçe aldığımız biürün oğlum hergün severek bi çay kaşığı yiyor.,1.0,0.0,0.0,0.0
harika urun uzun sure kullanilir gayet yogun icerikli,1.0,0.0,0.0,0.0
"the price is good , the product came packaged very well 👌 and reachedwithin 2 days .i recommend it.",0.0,1.0,1.0,0.0
ürün çok güzel saçlarımı yumuşacık  yapti.,1.0,0.0,0.0,0.0
güzel ürün,1.0,0.0,0.0,1.0
hızlı teslimat,0.0,0.0,0.0,0.0
fodmap diyetimde kullanmak için aldım güvenilir marka,1.0,0.0,0.0,0.0
sıcaktan erimiş canım hindistanım 😅 herşeyde kullanacağım🎊🎉,1.0,0.0,0.0,0.0
çok iyi paketlenip gönderilmiş. deneyip görelim.,0.0,1.0,0.0,0.0
çok beğenerek kullandım. tadı aroması çok güzel.,1.0,0.0,0.0,0.0
severek kullanıyoruz lezzetli,1.0,0.0,0.0,0.0
kokusu harika sabahları kahveme ekleyip tüketiyorum,1.0,0.0,0.0,0.0
çokk güzell,1.0,0.0,0.0,1.0
paketleme iyiydi,0.0,1.0,0.0,0.0
hindistan cevizi yağını daha önce başka bir markadan kullanıyordum zatenmemnunum ama bu siteden ilk defa aldım ağzına kadar dolu bir ürün değilçeyreği boş nerdeyse,1.0,1.0,0.0,1.0
yorumlara bakarak aldim. saglam bir sekilde elime ulasti. çok isimeyarayacak 👍😌,1.0,1.0,0.0,0.0
kahve için aldım süper lezzetli,1.0,0.0,0.0,0.0
ürünün kapağı açılmış yarısı dökülmüş nasıl bir kargolamadır sağolun gerçekten,0.0,1.0,0.0,0.0
saçlarım için aldım gayet güzel,1.0,0.0,0.0,0.0
aşırı iyi paketlenmiş tavsiye ederim,0.0,1.0,0.0,0.0
filtre kahve içinde tüketiyorum lezzeti çok güzel ve ağır değil,1.0,0.0,0.0,0.0
ürün çok başarılı kesinlikle öneririm,1.0,0.0,0.0,0.0
akşam tadına baktım muhteşem. teşekkürler wefood.,1.0,0.0,0.0,0.0
daha önce almıştım memnun kaldım. tekrar aldım,1.0,0.0,0.0,0.0
her zamanki gibi çok iyi kalite,1.0,0.0,0.0,0.0
devamlı olarak cilt ve saç bakımında kullandığım bir ürün.,1.0,0.0,0.0,0.0
aşırı özenli paketlenmiş ama hava sartlarından  dolayı erimiş ve bayaakmış üzgünüm,1.0,1.0,0.0,0.0
deodorant yerjne kullanmak için aldım.karbonatla karıştırıp en etkilideodoranti elde edebilirsiniz.,1.0,0.0,0.0,0.0
beklediğim gibi mükemmel,1.0,0.0,0.0,0.0
oil pulling için aldım ve çok beğendim inşallah fiyatı daha da artmazyine alırım. bu arada eriyip sıvı hâle gelebiliyor o zaman buz dolabınaatın hemen eski hâline döner.,1.0,0.0,1.0,0.0
her sabah kahvemi küçük çay kaşığı kadar koyup içiyorum yağ yakımınıhızlandırırdığını düşünüyorum bazen saçlarımın ucuna sürüyorumyumuşakması için,1.0,0.0,0.0,0.0
kahveye eklemek için aldım.,0.0,0.0,0.0,0.0
tadi super,1.0,0.0,0.0,0.0
ilk kez deniyorum çok beğendim ve özenli paketlenerek gönderildi teşekkürler,1.0,1.0,0.0,0.0
kahvemde kullanıyorum değişik bir aroma tat katıyor,1.0,0.0,0.0,0.0
kokusu harika . saçıma kullandım yumuşacık yaptı.batıldım,1.0,0.0,0.0,0.0
çok beğendim kokusu çok hoş,1.0,0.0,0.0,0.0
konak için aldım çok güzel yumuşatıp çıkardı,1.0,0.0,0.0,0.0
çatlaklarım için aldım doğal olduğu o kadar belliki kokusu müthiş,1.0,0.0,0.0,0.0
ben saçlarım için almıştım haftada 1 yapıyorum gayet memnunum zaten çokuzun süredir kullanıyorum,1.0,0.0,0.0,0.0
daha önceden de kullandığım ürün çok memnunum teşekkürler,1.0,0.0,0.0,0.0
çok güzel çok başarılı,1.0,0.0,0.0,0.0
ürünüm hep dökülmüştü yarısı boştu,1.0,1.0,0.0,1.0
"diyetisyen kahvenin içine koyup tuketmem için önerdi.ayrica saç uclarimasürüp,bir süre bekledikten sonra yıkıyorum.begenerek kullanıyorum.",1.0,0.0,0.0,0.0
aldığım günden beri açıp açıp kokluyorum muhteşem kokuyor ben direktgıda olarak aldım kahveye ve çaya vs ekliyorum bu şekilde alıcakolanlara tavsiyem bir çay kaşığı eklemeleri özellikle kahveye tatlıkaşığı çok fazla geliyor,1.0,0.0,0.0,0.0
cok guzel cok guzel kokyo organık alabılersnz,1.0,0.0,0.0,0.0
güzel duruyor ama fiyatı biraz yüksek diğer hindistan cevizi yağlarına göre,1.0,0.0,1.0,0.0
sosyal medya önerisi ile aldım sabahları aç karnına türk kahvesininiçine koyup içiyorum zayıflamak niyeti ile aldım kullanınca yorumumugüncelleyeceğim ❤️,0.0,0.0,0.0,0.0
kahveme eklemek için aldım,0.0,0.0,0.0,0.0
kargolara gayet güzel,0.0,1.0,0.0,0.0
tariflerim içine kullanıyorum guzel,1.0,0.0,0.0,0.0
saçlarım için kullanıyorum güzel,1.0,0.0,0.0,0.0
guzel ama minik bi kavanoz,1.0,0.0,0.0,1.0
very nice thank you🙏🥰👍,1.0,0.0,0.0,0.0
"gayet güzel, hem kahveye koyuyorum, hem saçıma sürüyorum.",1.0,0.0,0.0,0.0
en çok tadını beğendiğim bu marka,1.0,0.0,0.0,0.0
"aldıklarımın en iyisi, tavsiye ederim",1.0,0.0,0.0,0.0
ben saç bakımı için alıyorum gayet güzel,1.0,0.0,0.0,0.0
kargolama cok iyi,0.0,1.0,0.0,0.0
"harika ,kokusuna bayıldım 😍",1.0,0.0,0.0,0.0
harika paketleme suratli kargo hediye icin tesekkurler wefood,0.0,1.0,0.0,0.0
çok güzel,1.0,0.0,0.0,1.0
bebeğim için aldım kokusu inanılmaz su gibi geldi ben daha kremsibekliyordum ama bebe yağı gibi kullandıgım için işime geldi,1.0,0.0,0.0,0.0
çok güzel paketlenmiş,0.0,1.0,0.0,0.0
saçıma iyi geldi,1.0,0.0,0.0,0.0
çok memnunum,1.0,0.0,0.0,0.0
neden bana su gibi geldi. fotoğraflarda daha katı duruyordu keza satınalan diğer arkadaşlarda öyle. ortam sıcaklığıyla mi alakalı. umarımsorun yoktur üründe,1.0,0.0,0.0,0.0
kızım için kullanıyorum çok güzel kokuyor doğal tavsiye ederim,1.0,0.0,0.0,0.0
ürün akıtmış şeklire gelmişti yenisini yolladınız birde sanırımyanlışlıkla iki tane yollamışsınız ikiside yine akmış lütfen iadeyaparmısımız bunlarıda alabalirsiniz geri,1.0,1.0,0.0,0.0
sevdim güzel,1.0,0.0,0.0,1.0
gayet iyi beğendim,1.0,0.0,0.0,0.0
güzel tadı var ben kahvemede ilave ediyorum,1.0,0.0,0.0,0.0
ürün güzel beğendim.,1.0,0.0,0.0,0.0
"patpata sarılmış ve kutuya konulmuş şekilde sağlam geldi. kokusu harika:) yenilebilir olması zaten orijinal olduğunu gösteriyor.  saçuçlarınızı, ellerinizi ve dudaklarınızı nemlendirebilir, tatlıya vekahveye  tat vermesi için kullanabilirsiniz. buhurdanlığıma da birazekledim evim mis gibi kokuyor.  yüz nemlendiricisi olarak kullanılmasıtavsiye edilmiyor çünkü yüzdeki gözenekleri tıkayabiliyormuş. bu amaçlaalacak olanların bilgisine...",1.0,1.0,0.0,0.0
ürün çok güzel beklentimi karşıladı,1.0,0.0,0.0,0.0
boyu biraz küçük ama kokusu mükemmel kesinlikle organik 👍,1.0,0.0,0.0,1.0
saçlarım için kullanıyorum çok güzel bir etkisi var.,1.0,0.0,0.0,0.0
pat pata sarılıydı ama yine de çeyreği dökülmüştü onun haricinde  birsıkıntı yok,1.0,1.0,0.0,0.0
"oldukça küçük ama normal tabi dokusu, kokusu çok güzel. kargolaması iyiydi.",1.0,1.0,0.0,1.0
hasarsız güzel bir paketleme ile ulaştı,0.0,1.0,0.0,0.0
çok iye tuskredrm,0.0,0.0,0.0,0.0
güzel ürün,1.0,0.0,0.0,1.0
sorunsuz bir şekilde elime ulaştı :),0.0,1.0,0.0,0.0
orjinal. kokusu çok güzel teşekkür ederim ☺️,1.0,0.0,0.0,0.0
göz makyajımı temizlemek için aldım bu markayı ilk defa kullanacağım,0.0,0.0,0.0,0.0
tariflerimde kullanıyorum yıllardır. wefood un tüm ürünleri çok güzel,1.0,0.0,0.0,0.0
i̇çeriğinin doğal olduğuna inandığım için sipariş ettim çok güzel,1.0,0.0,0.0,0.0
guzel ama sanki hemencecik bitti,1.0,0.0,0.0,1.0
"sabahları gargara yapmak için kullanıyorum, çok memnunum.",1.0,0.0,0.0,0.0
bi tane sifaris vermisdim 2 tane geldi hediye qaliba cok tesekkur ederim😊,0.0,0.0,0.0,0.0
kullandığım bir üründü paketleme güzeldi hızlı kargo,0.0,1.0,0.0,0.0
"mükemmel bir koku,harika bir paketleme",1.0,1.0,0.0,0.0
güvendiğim tek marka wefood. yüzde yüz hindistan cevizi yağı. gönülrahatlığıyla alabilirsiniz.,1.0,0.0,0.0,0.0
güzel sadece sızmış biraz,1.0,1.0,0.0,0.0
açıkçası yorumlara bakarak kırık gelmesinden korkmuştum ama sağlamgeldi.yanındaki hediyeniz içinde teşekkürler,1.0,1.0,0.0,0.0
ürünü henüz denemedim kargo ve paketleme güzeldi kokusu da çok hoş,0.0,1.0,0.0,0.0
tadından ve kalitesinden çok memnunum. diyetisyenimin önerisiylebaşladım. bağırsaklarımın düzeni için kullanıyorum. kahveye de çokyakışıyor:) kullanmaya devam.,1.0,0.0,0.0,0.0
i̇lk defa deneyeceğim. sorunsuz geldi bilerek 150 ml istedim memnunkalırsam büyüteceğim. kargo çok hızlıydı,0.0,0.0,0.0,1.0
ürün çok güzel kokusu dokusu ama biraz daha özenli paketlene bilirdiakmış şekilde geldi bana yani paketin %10 yoktu diyebilirim ama onundışında güzel 👍🏻,1.0,1.0,0.0,0.0
hızlı teslimat,0.0,0.0,0.0,0.0
hızlı kargo kaliteli şahane kokuyor küçük hediyelriniz için de teşekkürederim 😊,1.0,1.0,0.0,0.0
hamileyim çatlak olmaması için aldım. inşallah işe yarar 🤗,0.0,0.0,0.0,0.0
güzel beğendik,1.0,0.0,0.0,1.0
sorunsuz elime ulaştı yeni yeni kullanmaya başladım kızlarım içinilerleyen zamanlarda tekrar guncelleyecegim paketleme sorunsuz elime ulasti,0.0,1.0,0.0,0.0
bu markanınkini tek gecerim,1.0,0.0,0.0,0.0
guzel urun kahveye ekliyorum,1.0,0.0,0.0,0.0
hamilelik döneminde çatlak oluşumunu önlemek için aldım henüz kullanmayabaşlamadım. kargo çok hızlıydı. sipariş verdim ve ertesi gün ürün elime ulaştı.,0.0,0.0,0.0,0.0
kokusu çok iyi ama hepsi erimiş dökülmüştü,1.0,1.0,0.0,0.0
ürün çok iyi bir ürün ancak paketleme çok kötüydü.nerdeyse 1/3dökülmüştü ama ihtiyacım olduğu için iade etmedim,1.0,1.0,0.0,0.0
kokusu çok iyi su gibi daha yapılı beklemiştim 😂 çok güzel beğendim 2kutu çokmuş hamilelik için almıştım 1 şişe yeter artar bile,1.0,0.0,0.0,1.0
çok güzel kokuyor saçıma sürmek ve kahveye katmak için aldım,1.0,0.0,0.0,0.0
ilk kullanımda bile farkını görüyorsunuz saçları yumuşacık yapıyor alın aldırın,1.0,0.0,0.0,0.0
saclarimi yumusacik yapti,1.0,0.0,0.0,0.0
bende kahveme atayım bakıyım henüz kullanmadım bir de ben pudinglere birkaşık denemek istiyorum,0.0,0.0,0.0,0.0
beğenerek kullanıyoruz,1.0,0.0,0.0,0.0
gayet guzel,1.0,0.0,0.0,0.0
"güzel çok beğendim tadı ,",1.0,0.0,0.0,0.0
güzel 👍🏻,1.0,0.0,0.0,0.0
"çok güzel, kokusu da harika;  devamını alacağım bir ürün",1.0,0.0,0.0,0.0
"yarısı dökülmüş olarak geldi , üzgünüm ama iyi paketlenmemişti",0.0,1.0,0.0,0.0
cok beyandim,1.0,0.0,0.0,0.0
"çok güzel, mis gibi kokuyor",1.0,0.0,0.0,0.0
çok güzel kokuyor ve uzun sure yetiyor,1.0,0.0,0.0,1.0
güzel ürün,1.0,0.0,0.0,1.0
paketleme güzel ve hızlı teslimat,0.0,1.0,0.0,0.0
ürünü beğendim. içimi çok güzel,1.0,0.0,0.0,0.0
i̇lk siparişimdi çok memnun kaldım hindistan cevizi yağını evdeyapıyordum normalde ama bu sefer hazır satın almaya karar verdim misgibi kokusu tadı aynı evde yapılanlar gibi çok beğendim diğer ürünleride alacağım kesinlikleee,1.0,0.0,0.0,0.0
beğendim teşekkür ederim 🙏🏻,1.0,0.0,0.0,0.0
güzel bir ürün,1.0,0.0,0.0,0.0
"güzel bir ürün, kuru saça kullanıyorum yumuşak ve parlak yapıyor. bazenkahvenin içine de koyup tüketiyorum",1.0,0.0,0.0,0.0
çok akmış maalesef ama güzel ürün,1.0,1.0,0.0,1.0
çok güzel paketlendi tadı da çok güzel,1.0,1.0,0.0,0.0
bayıldım bayıldım,1.0,0.0,0.0,1.0
sürekli kullandığımız bi ürün,1.0,0.0,0.0,0.0
gelirken paketin içine akmış,1.0,1.0,0.0,0.0
yüzüme maske hazırlamak için aldim,0.0,0.0,0.0,0.0
çok pahalıya aldım ya indirme girdi hemen sonra,0.0,0.0,1.0,0.0
çok güzel beğendim teşekkürler,1.0,0.0,0.0,0.0
çok güzel tadı da kokusu da harika,1.0,0.0,0.0,0.0
"çok güzel ye ,güzelliğin için kullan,kurabiye kek yap daha ne olsun sizesadece sipariş vermek kaldı😊",1.0,0.0,1.0,0.0
çok lezzetli 👍🏻,1.0,0.0,0.0,0.0
ürün çok güzel,1.0,0.0,0.0,0.0
bittikçe alıyorum markanın her ürünü kaliteli sağlam paketleme,1.0,1.0,0.0,0.0
gayet sağlam bir şekilde geldi wefood ürünlerini seviyorum ☺️😊,1.0,1.0,0.0,0.0
ürün çok güzel kokuyor ama geldiği sırada erimiş ve biraz akmış amakesinlikle satıcıdan kaynaklı değil hindistan cevizi yağı sıcak ortamdaeriyor zaten.,1.0,0.0,0.0,0.0
tesekkur ederim sorunsuz ulasti,1.0,1.0,0.0,0.0
en güzel h cevizi yağı,1.0,0.0,0.0,0.0
organik olduğunu düşünmüyorum bunun dışında paketleme güzeldi,1.0,1.0,0.0,0.0
"en sevdiğim ürünlerden, paketleme güzel fakat teslimat biraz geç oldu",1.0,1.0,0.0,0.0
ürün saçlarıma iyi geldi memnun kaldım ama koruyucu banda rağmen birparmak kadar dökülmüştü. sanırım kapağı tam kapanmamış.,1.0,1.0,0.0,0.0
paketleme hiç özenli değildi paramparça olmuş kavanoz,1.0,1.0,0.0,0.0
wefood’dan 5 ürün sipariş ettim hepsinin kapağı kilitli patpata sarılıhiç bir sızma olmamıştı. sadece hindistan cevizi yağı kilitli kapaktadeğildi patpat içinde fakat kapağı yarı açık şekildeydi dökülmüştübiraz. bir de şimdi yorumlarda gördüm herkesin yağı beyaz bana gelenşeffaftı. buz dolabında durunca mı bu şekle geliyor acaba?,1.0,1.0,0.0,0.0
ürünü de paketleme de  çok güzeldi teşekkürler,1.0,1.0,0.0,0.0
hindistan cevizi yağı saç bakım rutinimin vazgeçilmezi . ürün güzel birşekilde elime ulaştı,1.0,1.0,0.0,0.0
harika,1.0,0.0,0.0,0.0
faydalı bir ürün,1.0,0.0,0.0,0.0
çok iyi ğrün,1.0,0.0,0.0,0.0
teşekkür ederim 💐,0.0,0.0,0.0,0.0
"herzaman kullandığım ürünler ilk kez böyle sorun yaşadım. koruma bandıaçılmış bı kısmı dökülmüş , kargolama çok kötüydü",1.0,1.0,0.0,0.0
çok memnunum filtre kahvede de güzel gidiyor,1.0,0.0,0.0,0.0
hızlı geldi teşekkür ederim.,0.0,0.0,0.0,0.0
krem kullanmıyorum sadece hindistan cevizi yağı 🙏,1.0,0.0,0.0,0.0
çok beğendim. hem kahveye hem cildime kullanıyorum 👍🏻,1.0,0.0,0.0,0.0
sürekli kullandığım ürün zaten,1.0,0.0,0.0,0.0
saça cilde kahveye kaliteli,1.0,0.0,0.0,0.0
dokusu ve kokusu çok iyi,1.0,0.0,0.0,0.0
keşke akmadan gelseydi ama gayet iyi görünüyor,1.0,1.0,0.0,1.0
"memnunum, sürekli aldığım h.cevizi yağı",1.0,0.0,0.0,0.0
kokusu çok güzel hamilelikte oluşacak çatlaklar için aldım dahakullanmaya başlamadım,0.0,0.0,0.0,0.0
çok güzel kokuyor ve tadı harika,1.0,0.0,0.0,0.0
indirimden aldık gayet güzel kaliteli tavsiye ederim,1.0,0.0,1.0,0.0
çok güzel,1.0,0.0,0.0,1.0
şahane bi̇r ürün,1.0,0.0,0.0,1.0
teşekkürler,0.0,0.0,0.0,0.0
gerçekten memnun  kaldım cildimi besliyo canlılık kattı teşekkürler.,1.0,0.0,0.0,0.0
kokusu harika. boyadan yıpranmış saçlarım için aldım ilk kullanıştaetkisini gördüm yumuşacık yapıyor.,1.0,0.0,0.0,0.0
ben begendım gayet güzel,1.0,0.0,0.0,0.0
bebeğimin saçındaki konak için aldım banyo öncesi sürüyorum beğendimkargo hızlı ürün iyi paketlenmişti,1.0,1.0,0.0,0.0
katı halde geldi bana farketmez aromasını seviyorum kahvelerdekullanıyorum. hamileyim aynı zamanda cildimi nemlendirmek içinde eritip kullanıyorum.,1.0,0.0,0.0,0.0
ürünü hala kullanıyorum bunun büyüğünü de kullandım bu satıcıdan ikisideçok güzel diğer kullandığım hindistan cevizi yağlarina göre iyilersürekli kullanıyorum,1.0,0.0,0.0,1.0
kokusu güzel daha uzun süre kullanmadım bakicaz,0.0,0.0,0.0,0.0
evet gerçekten güzel,1.0,0.0,0.0,0.0
ürün çok güzel paketlenmesine rağmen maalesef yağın büyük bir kısmı akmıştı.,1.0,1.0,0.0,0.0
çok beğendim emegi geçen herkese teşekkürler (✿◠‿◠)🙏🙂👍🌹👌👍,1.0,0.0,0.0,0.0
"bayıldım☺️☺️ paketlemede küçük hediye de süperdi. kesinlikle alınmasıgereken markalardan, güvenle☺️",1.0,1.0,0.0,0.0
kahveme koyuyorum fiyat performans açısından çok iyi,1.0,0.0,1.0,0.0
her zaman alışveriş yaparım çocuğum için ama hindistan cevizi yağı busefer bize acilmis biçimde geldi .kutu yağ iicindeydi.yardimci olursanızsevinirim geri iade yapayım mı bu şekilde kullanamam içine gelene kadarmikrop bulaşmış olabilir .,1.0,1.0,0.0,0.0
sorunsuz ulasti teşekkürler,0.0,1.0,0.0,0.0
tadı kokusu çok güzel 👌🏻,1.0,0.0,0.0,0.0
4 aylık hamileyim yeni başladım umarım faydasını görürüm beğendim,1.0,0.0,0.0,0.0
düzenli kullanımda saçı yumuşacık yapıp oldukça iyi geliyor,1.0,0.0,0.0,0.0
cok iyi. cok begendim,1.0,0.0,0.0,0.0
kargo hızlı ve özenliydi tadından memnun kaldım ve ekstradan bir tanedehediye için teşekkürler,1.0,1.0,0.0,0.0
severek kullanıyorum,1.0,0.0,0.0,0.0
merhabalar hindistan cevizi yağı böyle su kıvamında mı oluyor daha koyuve kıvamlı olmuyor muydu,0.0,0.0,0.0,0.0
ürün paketlemesi güzel oldugu halde dökmüş geldi etrafı ıslanmış kapağıacık kalmış dikkat ederseniz sevinirim,1.0,1.0,0.0,0.0
severek ve güvenerek kullanıyorum,1.0,0.0,0.0,0.0
mis gibi bir kokusu var...,1.0,0.0,0.0,0.0
sürekli kullanıyorum çok iyiydi,1.0,0.0,0.0,0.0
paketleme güzel tadına bakmadım,0.0,1.0,0.0,0.0
tadını sevemedim çok yoğun ama kaliteli,1.0,0.0,0.0,0.0
sorunsuz geldi gayet güzel,1.0,1.0,0.0,0.0
yediğim en iyi hindistan cevizi yağı,1.0,0.0,0.0,0.0
yoğun rahatsız edici bir hindistan yapı tadı yok sevdim . sabahlarıağzımı çalkalıyorum dil sıyırıcı ile sıyırıyorum,1.0,0.0,0.0,0.0
kahvenin içinde kullanıyorum çok memnunum 😊,1.0,0.0,0.0,0.0
kargoda iyi paketlenmediği için akmış çok üzüldüm telafi edilmesinibekliyorum lütfen,0.0,1.0,0.0,0.0
iyi ürün teşekkür ederim beğendi k,1.0,0.0,0.0,0.0
bu marka çok iyi,1.0,0.0,0.0,0.0
buzdolabında muhafaza ediyorum haftada 3-4 kez kasıkla veriyorum çok begendim,1.0,0.0,0.0,0.0
"bu markanın ürünlerini begeniyorum. bu ürününü de bir süredir bittikçealıyorum, memnunum.",1.0,0.0,0.0,0.0
çok güzel,1.0,0.0,0.0,0.0
paketleme gayet iyiydi dökülme kırılma olmamış. ürünü daha kullanmadımama kullanınca yorumumu güncellerim.,0.0,1.0,0.0,0.0
severek güvenerek kullanıyoruz,1.0,0.0,0.0,0.0
yağın yarısı dökülmüştü,0.0,1.0,0.0,0.0
akmıştı koliye memnun kalmadım.,1.0,1.0,0.0,0.0
mis gibi kokuyor. sahte foto için sorry,1.0,0.0,0.0,0.0
çok güzel her sabah filtre kahveme ekliyorum,1.0,0.0,0.0,0.0
ürün güzel ama kavanoz kapağı açılmış yarısı dökülmüş bir şekilde geldi malesef,1.0,1.0,0.0,0.0
paketleme iiyiydi kırık gelmedi.,0.0,1.0,0.0,0.0
daha iyisi yok,1.0,0.0,0.0,0.0
markanın başka ürünlerini aldım memnun kaldım fakat dökülmüş şekildegeldi ve fotoğraftaki gibi değil direk sivi yağ gibi kıvamı sıcaktanerimiş olabilir buzdolabına koydum uğrasmamak için iade etmedim amakapagi sızdırıyor sanırım paketleme aslında iyi yapılmıştı,1.0,1.0,0.0,0.0
sağlık için buna değer saçlar tırnaklar beslenme her şekilde kullanılabiliyor🤩,1.0,0.0,0.0,0.0
hep kullandığım ürün,1.0,0.0,0.0,0.0
süper ürün,1.0,0.0,0.0,0.0
çok teşekkür ederim,0.0,0.0,0.0,0.0
"kaliteli çok güzel bir ürün,sağlam özenli kargoyla geldi, teşekkürler.",1.0,1.0,0.0,0.0
ürün çok özenli paketlenmişti sapasağlam ulaştı elime boyutu da gayetuygun fiyatına göre,1.0,1.0,1.0,1.0
çok çok beğendim,1.0,0.0,0.0,0.0
saclarim kivircik ve cok kuru haftada birkere uyguluyorum ve muhteşembir sonuç aldım saçlarımı yumuşatti kurulugunu giderdi tavsiye ederim,1.0,0.0,0.0,0.0
bebeğime aldım bayılarak yiyor,1.0,0.0,0.0,0.0
